Date,0N,50N,100N,150N
7/29/2022,2.28,5.48,7.22,5.16
8/2/2022,0.77,5.8,11.85,4.98
8/5/2022,5.09,0.54,3.53,5.83
8/9/2022,1.91,,1.8,2
8/12/2022,3.7,4.98,4.26,3.33
8/16/2022,3.84,6.52,13.52,5.52
8/22/2022,1.2,2.33,10.89,5.12
8/30/2022,4.28,12.31,14.07,4.52
9/6/2022,0.64,5.67,13.1,3.75
9/9/2022,0.29,3.94,5.06,4.83
9/13/2022,0.38,6.95,9.59,4.93
9/16/2022,,3.67,11.01,8.14
9/20/2022,,3.49,12.24,8.12
9/23/2022,0.12,2.03,7.02,3.3
9/27/2022,,13.04,9.52,3.24
9/30/2022,0.67,6.64,10.96,7.18
10/4/2022,,4.68,14.61,7.24
10/7/2022,,3.66,4.02,3.94
10/11/2022,1.17,11.56,3.74,8.34
10/14/2022,0.41,5.69,5.68,2.11
10/18/2022,,8.33,6.85,6.8
10/21/2022,0.49,9.59,7.5,
11/1/2022,7.51,5.88,6.48,
