Date,0N,50N,100N,150N
7/26/2023,,12.09,,
7/29/2023,,,,
8/1/2023,18.56,10.56,,
8/4/2023,17.26,13.78,12.16,
8/7/2023,22.56,37.65,24.6,
8/11/2023,63.62,58.04,65.32,34.02
8/13/2023,24.69,48.12,69.62,97.47
8/17/2023,32.81,88.5,71.03,90.22
8/21/2023,30.54,75.43,93.9,82.8
8/24/2023,9.12,15.72,40.22,53.65
8/27/2023,16.52,45.12,50.09,57.09
8/31/2023,32.98,52.75,56.04,43.28
9/5/2023,19.45,55.04,91.04,7.33
9/9/2023,7.34,6.59,12.27,41.5
9/13/2023,7.4,32.74,37,17.68
9/17/2023,5.97,10.33,13.71,32.06
9/21/2023,0,24.47,35.92,30.71
9/24/2023,0,25.09,10.14,29.71
9/28/2023,7.99,13.57,72.41,41.26
