Date,Diameter,Length,Fresh weight,Condition
7/29/2022,28.82,,15.49,
7/29/2022,24.98,,10.66,
7/29/2022,26.36,,12.65,
7/29/2022,24.38,,8.95,
7/29/2022,24,,8.81,
7/29/2022,20.25,,6.97,
8/2/2022,28.66,,13.66,
8/2/2022,26.58,,9.25,
8/2/2022,26.13,,8.05,
8/2/2022,23.74,,8.2,
8/2/2022,23.92,,9.05,
8/2/2022,27.91,,11.67,
8/2/2022,27.4,,9.26,
8/2/2022,25.19,,7.33,
8/2/2022,23.93,,6.59,
8/2/2022,18.79,,4.52,
8/2/2022,19.4,,4.05,
8/5/2022,28.43,,10.27,
8/5/2022,27.95,,9.05,
8/5/2022,28.14,,8.29,
8/5/2022,20.23,,3.76,
8/9/2022,29.18,,9.74,
8/9/2022,27.95,,7.53,
8/9/2022,23.8,,4.41,
8/12/2022,32.18,,14.19,
8/12/2022,23.55,,6.34,
8/12/2022,25.93,,8.47,
8/12/2022,21.6,,4.88,
8/12/2022,23.22,,5.95,
8/12/2022,14.7,,1.24,
8/16/2022,29.55,30.3,11.54,
8/16/2022,24.67,32.13,8.45,
8/16/2022,27.64,34.85,10.97,
8/16/2022,25.82,29.22,8.76,
8/16/2022,29.24,33.77,11.52,
8/16/2022,28.36,32.74,10.74,
8/16/2022,25.53,27.03,7.39,
8/16/2022,25.91,27.28,8.31,
8/16/2022,27.24,32.12,9.7,
8/16/2022,25.73,27.15,7.32,
8/16/2022,23.64,31.65,8.06,
8/16/2022,25.42,26.9,7.96,
8/22/2022,30.03,33.75,12.91,1
8/22/2022,27.85,37.97,11.69,1
8/22/2022,23.69,25.29,5.69,1
8/22/2022,27.47,30.12,9.88,2
8/22/2022,28.5,29.7,10.46,2
8/22/2022,28,27.37,9.29,2
8/22/2022,27.266,28.88,8.63,2
8/22/2022,17.71,23.64,3.22,2
8/30/2022,27.77,34.36,11.8,1
8/30/2022,28.64,31.97,10.96,1
8/30/2022,26.77,32.86,10.21,1
8/30/2022,25.96,31.23,9.11,1
8/30/2022,20.74,23.11,4.89,1
8/30/2022,23.29,27.92,6.18,1
8/30/2022,21.84,24.77,5.97,5
8/30/2022,28.71,35.36,12.8,5
8/30/2022,22.47,33.9,8.29,1
8/30/2022,23.43,25.94,6.06,5
8/30/2022,26.18,31.27,9.56,2
8/30/2022,25.42,28.02,8.51,2
8/30/2022,23.61,30.48,6.48,2
8/30/2022,22.45,22.72,5.8,2
8/30/2022,22.62,25.01,5.57,3
8/30/2022,14.77,20.74,2.57,2
9/6/2022,26.69,34.7,11.42,1
9/6/2022,24.92,30.11,8.9,1
9/6/2022,26.52,30,9.29,4
9/6/2022,22.36,33.34,9.84,2
9/6/2022,25.91,29.6,8.13,1
9/6/2022,24.78,36.18,10.2,1
9/6/2022,26.46,31.14,10.26,1
9/6/2022,22.59,25.89,7.5,3
9/6/2022,21.38,29.65,7.95,1
9/6/2022,22.88,25.56,6.95,5
9/6/2022,24.22,23.69,7.14,3
9/6/2022,29.62,25.58,9.84,3
9/6/2022,27.8,24.68,9.72,4
9/6/2022,19.5,23.08,4.34,1
9/6/2022,25,24.99,6.79,4
9/6/2022,22.95,23.91,5.51,3
9/6/2022,17.29,21.37,3.84,1
9/9/2022,34.77,36.16,18.28,1
9/9/2022,33.61,34.42,15.31,3
9/9/2022,28.83,35.9,11.84,1
9/9/2022,24.06,25.96,6.23,1
9/9/2022,18.03,28.03,4.41,5
9/9/2022,17.97,15.6,2.28,3
9/9/2022,14.58,15.87,1.51,3
9/13/2022,31.81,33.33,14.19,1
9/13/2022,26.08,33.51,11.72,1
9/13/2022,26.43,27.39,8.54,1
9/13/2022,27.5,28.62,9.84,1
9/13/2022,30.52,32.31,14.41,1
9/13/2022,26.82,39.48,14.81,1
9/13/2022,25.52,31.09,9.62,1
9/13/2022,27.6,35.38,13.89,1
9/13/2022,28.78,32.22,12.34,1
9/13/2022,25.71,29.77,9.88,1
9/13/2022,26.34,27.41,10.15,2
9/13/2022,23.69,27.8,7.65,1
9/13/2022,25.5,29.15,10.13,2
9/13/2022,20.74,21.09,5.25,4
9/13/2022,22.03,20.03,4.56,4
9/13/2022,24.16,16.94,5.44,4
9/13/2022,20,16.51,3.59,4
9/16/2022,27.94,30.32,10.36,1
9/16/2022,26.82,33.84,12.88,1
9/16/2022,30.6,34.52,14.33,1
9/16/2022,28.88,31.35,11.37,1
9/16/2022,28.13,29.2,12.31,1
9/16/2022,25.08,26.69,8.33,3
9/16/2022,30.52,31.1,12.76,2
9/16/2022,25.93,23.32,6.19,3
9/16/2022,21.54,26.12,5.93,1
9/16/2022,23.25,34.29,9.87,2
9/16/2022,23.93,34.04,10.79,1
9/16/2022,25.64,27.34,8.27,5
9/16/2022,24.17,22.26,6.96,3
9/16/2022,26.69,24.22,9.77,4
9/16/2022,21.13,24.74,6.15,1
9/20/2022,29.31,35.54,15.34,2
9/20/2022,26.8,30.85,10.9,1
9/20/2022,28.68,34.68,12.72,1
9/20/2022,26.91,29.59,11.44,1
9/20/2022,21.86,28.63,8.22,2
9/20/2022,27.19,30.41,12.09,1
9/20/2022,29.43,29.75,12.79,2
9/20/2022,26.41,31.52,11.95,1
9/20/2022,27.35,32.7,11.29,1
9/20/2022,27.91,27.12,9.48,3
9/20/2022,25.19,30.12,9.13,1
9/20/2022,26.64,29.26,10.57,1
9/20/2022,17.86,31,6.08,4
9/20/2022,22.56,27.61,7.71,1
9/20/2022,25.5,27.61,9.87,2
9/20/2022,15.96,14.53,2.5,3
9/20/2022,23.73,27.73,8.22,1
9/20/2022,20.52,23.31,5.89,3
9/20/2022,19.96,21.78,5.16,2
9/23/2022,18.7,27.95,6.34,1
9/23/2022,24.2,30.54,8.4,2
9/23/2022,22.17,26.05,6.23,1
9/23/2022,24.13,25.22,6.59,1
9/23/2022,18.78,27.53,5.38,1
9/23/2022,25.89,24.97,6.79,1
9/23/2022,24.97,28.24,9.7,1
9/23/2022,21.73,26.71,5.89,1
9/23/2022,18.17,25.95,4.27,1
9/23/2022,20.25,26.1,4.8,2
9/23/2022,17.89,23.65,4.63,1
9/27/2022,27.57,31.09,12.65,1
9/27/2022,26.17,35.07,10.88,1
9/27/2022,22.16,27.52,6.77,1
9/27/2022,22.44,30.83,9.21,5
9/27/2022,22.54,30.68,7.59,1
9/27/2022,21.43,27.84,6.29,1
9/27/2022,22.53,27.47,7.37,1
9/27/2022,18.56,27.26,4.85,2
9/27/2022,20.9,25.95,5.61,2
9/27/2022,20.2,24,4.4,1
9/27/2022,14.48,20.17,2.43,2
9/27/2022,19.27,19.75,3.77,4
9/27/2022,17.82,21.89,3.5,1
9/27/2022,16.09,,3.17,5
9/30/2022,24.51,32.21,9.33,1
9/30/2022,26.61,30.87,9.76,1
9/30/2022,22.11,32.4,8.87,1
9/30/2022,23.97,26.99,7.32,1
9/30/2022,19.8,24.23,4.82,1
9/30/2022,22.58,31.04,7.84,2
9/30/2022,22.06,27.35,6.82,1
9/30/2022,20.42,27.11,6.41,1
9/30/2022,17.52,22.17,3.87,1
9/30/2022,21.73,26.05,6.02,4
9/30/2022,18.17,23.06,3.94,1
9/30/2022,17.5,18.34,3.28,3
9/30/2022,13.41,17.52,2.01,3
9/30/2022,20.91,19.36,4.76,3
9/30/2022,14.37,21.01,3.22,5
9/30/2022,12.84,17.55,1.91,3
10/4/2022,28.11,33.9,11.57,1
10/4/2022,26.3,38.47,11.4,1
10/4/2022,24.79,31.64,8.99,1
10/4/2022,25.53,31.31,9.382,1
10/4/2022,24.71,28.13,8.45,3
