Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
07/26/2023,8.84,8.8,,8.09,9.89,9.43,,9.19,9.27,9.69,,8.05,10.96,,,9.54,,,8.64,
07/29/2023,9.53,11.75,10.26,10.34,10.89,14.4,12.31,11.32,11.66,11.7,10.57,11.39,13.13,9.3,12.78,12.77,10.56,11.17,12.02,12.46
08/01/2023,10.15,13.56,11.01,11.8,13.09,20.16,14.8,13.33,13.5,12.97,12.86,11.42,14.12,10.92,13.81,14.19,14.42,12.2,12.83,13.59
08/04/2023,10.73,16.86,13.12,13.61,16.53,6.73,17.6,16.51,15.64,15.27,13.41,14.5,16.83,10.59,18.23,20.13,17.27,13.87,14.43,13.57
08/07/2023,12.15,22.13,14.38,17.17,19.79,8.96,23.88,22.1,19.88,20.31,14.63,18.45,23.9,15.74,22.34,25.52,22.87,16.57,18.04,18.45
08/11/2023,17.45,27.58,18.67,22.61,22.95,11.07,28.72,25.86,26.6,26.16,17.54,23.94,22.96,19.94,28.03,33.37,29.82,22.02,21.18,22.83
08/13/2023,20.37,9.15,22.23,24.19,6.65,10.25,28.24,25.5,,,21.94,7.29,23.36,23.9,29.46,34.87,8.83,23.27,5.57,24.76
08/17/2023,6.52,10.78,25.83,6.69,7.58,11.6,,7.59,6.93,5.98,26.62,7.57,6.1,22.22,7.62,6.96,11.13,7.76,8.54,
08/21/2023,8.72,14.44,,8.15,8.99,15.04,,9.82,8.59,6.58,,6.68,8.54,,7.92,7.96,12.99,,,
08/24/2023,9.58,15.71,9.08,9.79,10.28,19.35,7.57,12.77,10.97,7.83,6.83,,11.13,7.6,9.39,7.97,16.38,,,
08/27/2023,10.79,18.1,8.74,10.93,11.65,,8.39,15.99,12.39,8.49,8.53,6.49,12.89,9.61,12.16,7.29,21.28,,6.1,6.26
08/31/2023,13.82,26.19,10.7,15.45,17.76,9.53,9.68,22.7,17.78,10.21,10.55,,17.95,12.89,18.28,,27.66,6.24,6.03,10.97
09/05/2023,23.02,6.46,15.29,21.34,21.31,12.4,14.93,26.73,23.7,18.52,13.65,6.18,25.38,21.17,20.85,,,5.61,7.42,14.59
09/09/2023,24.44,7.31,20.27,7.17,,15.36,17.67,,,20.55,19.89,5.84,,25.92,,5.91,8.1,5.43,9.46,21.08
09/13/2023,,6.87,21.91,8.38,,19.59,19.46,,6.36,,23.81,5.4,,28.35,9.7,5.55,9.61,4.36,11.84,26.82
09/17/2023,6.23,8.17,,9.08,,25.46,,,8.87,6.31,,5.28,8.29,,11.28,6.94,11.69,5.54,14.66,28.8
09/21/2023,6.78,10.14,,14.3,,,6.29,7.96,10.97,8.29,7.07,5.54,13.23,6.6,14.96,,16.15,,19.59,
09/24/2023,8.21,12.85,6.42,17.91,,,7.48,8.39,11.79,9.57,7.69,6.04,13.42,8.66,17.96,,18.99,,24.34,
09/28/2023,8.44,10.51,6.11,21.09,,,7.51,9.83,14.25,10.76,8.6,6.28,16.85,9.26,23.55,,23.22,,26.79,
