Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
08/16/2022,14.88,13.83,20.8,20.4,10.93,18.97,19.29,29.14,31.64,16.57,17.67,22.92,23.6,16.78,21.72,17.0,25.27,13.82,20.19,17.13
08/19/2022,16.51,16.16,22.59,25.27,13.23,16.89,18.8,28.41,13.68,22.74,19.81,29.28,24.09,21.07,24.23,18.02,8.18,16.43,22.22,23.26
08/23/2022,17.88,17.59,22.57,26.77,17.76,15.18,23.78,11.12,17.9,22.85,22.79,30.71,23.53,26.74,21.46,15.69,8.73,22.2,11.96,26.75
08/30/2022,,18.55,22.54,26.61,21.45,,24.35,17.74,24.27,26.75,23.22,25.2,,33.74,16.48,,11.25,25.27,16.98,24.54
09/06/2022,14.93,4.01,17.62,11.79,22.01,25.57,19.94,30.67,14.5,12.98,18.58,24.97,25.4,14.03,14.68,8.13,15.88,13.46,26.5,17.84
09/09/2022,16.1,4.35,19.28,12.92,8.98,32.9,,33.64,26.84,15.07,,,31.21,18.27,,8.59,14.74,17.78,28.3,
09/13/2022,4.61,3.37,20.29,12.99,11.19,35.69,8.3,33.22,29.9,19.38,19.87,13.73,36.04,23.91,19.13,8.44,,23.7,14.95,24.23
09/16/2022,3.55,3.49,5.02,14.61,12.62,13.82,8.86,14.12,14.77,23.99,25.39,17.51,14.48,28.17,22.2,8.15,12.46,24.18,18.87,10.88
09/20/2022,,,,20.5,14.73,23.41,12.97,19.81,19.42,26.45,31.12,25.55,17.74,30.62,21.6,7.76,15.48,14.12,20.36,14.09
09/23/2022,9.17,10.77,7.98,24.47,15.96,23.5,15.97,26.0,23.7,11.26,26.0,28.14,18.29,13.82,13.87,,16.0,12.5,18.97,13.0
09/27/2022,9.13,11.42,7.62,22.95,3.98,21.16,18.27,30.64,27.32,12.79,,30.99,27.24,15.96,18.13,13.53,24.94,18.77,,20.33
09/30/2022,10.83,12.71,9.17,23.18,,17.83,15.76,31.74,7.06,15.31,11.75,8.41,26.52,16.46,12.81,13.68,24.97,21.17,15.01,23.29
10/04/2022,15.85,17.15,15.0,7.89,16.01,26.3,23.85,32.98,13.16,21.98,20.08,12.6,,19.88,17.48,14.89,25.29,25.99,22.72,29.15
10/07/2022,19.34,19.94,13.74,8.38,18.92,30.91,28.8,12.29,15.16,22.62,24.19,13.94,11.86,9.45,22.48,12.6,13.54,13.19,28.16,12.92
10/11/2022,21.66,21.96,17.37,10.3,19.12,30.21,31.65,15.81,19.44,24.02,23.98,22.46,15.5,10.81,30.19,15.97,19.76,17.36,30.76,15.72
10/14/2022,6.84,7.5,10.51,6.25,7.07,17.55,13.59,18.71,23.84,11.58,13.41,19.7,13.53,9.15,26.4,11.95,19.12,19.17,11.32,
10/18/2022,16.43,18.14,11.17,14.86,9.02,23.3,19.39,27.86,,13.33,23.33,22.25,22.73,,9.9,15.86,19.3,27.69,15.13,23.19
10/21/2022,15.69,22.5,12.19,14.85,9.69,25.43,21.99,28.96,30.8,15.56,25.13,18.78,22.37,18.89,8.37,13.02,19.08,27.37,12.66,26.06
11/01/2022,17.52,29.86,19.36,14.42,18.06,6.08,23.69,27.57,,16.66,22.45,,19.05,18.24,,,18.26,23.74,,22.56
