Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7/26/2023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7/29/2023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/1/2023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/4/2023,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/7/2023,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/11/2023,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8/13/2023,1,2,1,1,2,2,1,1,2,2,1,,1,1,1,1,2,1,,1
8/17/2023,2,2,1,2,2,2,2,2,2,2,1,,2,1,2,,2,,,
8/21/2023,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,2,,,
8/24/2023,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,,2,,2,2
8/27/2023,2,2,2,2,2,3,2,2,2,2,2,,2,2,2,,2,,2,2
8/31/2023,2,2,2,2,2,3,2,2,2,2,2,,2,2,2,,2,,2,2
9/5/2023,2,,2,2,2,3,2,2,2,2,2,,2,2,2,,,,2,2
9/9/2023,2,,2,3,,3,2,,,2,2,,,2,,,,,2,2
9/13/2023,,,2,3,,3,2,,,,2,,,2,,,,,2,2
9/17/2023,,,,3,,3,,,,,,,,,,,,,2,2
9/21/2023,,,,3,,,,,,,,,,,,,,,2,
9/24/2023,,,,3,,,,,,,,,,,,,,,2,
9/28/2023,,,,3,,,,,,,,,,,,,,,2,
